0x001474  《一心一意地，那些孩子們，
0x001D80  　如果阻止了那些要展開旅行的人們，
0x001DA4  　也會使他們感到痛苦吧。》
0x001DC0  …………
0x001DCA  《但如果不阻止要離開的人，
0x001DE6  　留下來的人也會感到痛苦呀。
0x001E04  　我希望可以好好地去珍惜這種感覺，
0x001E28  　還有這一顆心。》
0x001E3C  那就寫封信給大家吧，
0x001E52  好好地感受自己的心情，把它化作文字，
0x001E78  然後試著表達出來讓大家知道。
0x001E96  無論在寫信的時候，還是妳出外旅行的時候，
0x001EC0  不管決心受到了怎樣的動搖。
0x001EDC  妳也一定要抬頭挺胸地走出去。
0x001EFA  妳的心意，我會幫妳傳達給大家的。
0x001F1C  老師……
0x001F26  非常感謝您。
0x001F34  不客氣。
0x001F3E  妳也教了我很重要的事情呀。
0x001F5A  妳的心靈與妳的話語，對我都有很大的影響。
0x001F84  老、師……
0x001F90  謝謝。
0x001F98  ……嗚。
0x001FA2  想不到，嗚……
0x001FB2  想不到會有人這樣地跟我道謝……
0x001FD2  這是第一次……
0x001FE2  …………
0x001FEC  我很開心。
0x001FF8  真的很開心。
0x002006  ……瑟希莉絲。
0x002016  可是，嗚，我……
0x002028  卻要離開老師了……
0x00203C  我是笨蛋。
0x002048  對不起……
0x002054  …………
0x00205E  ……嗚。
0x002068  …………
0x002072  老師……
0x00207C  我……一定會回來的。
0x002092  ……嗯嗯。
0x00209E  這是當然的，我會等著妳的。
0x0020BA  一直等下去。
0x0020C8  請你們原諒我這樣不說一句話就走了。
0x0020EC  ……法娜學姊、艾爾雪學姊，妳們真的都一向對我很好，
0x002120  都曾經讓我那麼地快樂。
0x002138  還有一開始替我加油打氣的凱洛特，我也沒辦法忘記。
0x00216A  伊里安和奎絲忒做事，也是一直那麼地全心全意。
0x002198  雖然希里鄔司說話總是莽撞了一點，
0x0021BA  但是他也總是傳達了一些我所不知道的事情。
0x0021E4  還有夏朧，因為妳坦率的個性，
0x002202  我不知道受到了多少的鼓勵。
0x00221E  本來應該好好支持你們的我，
0x00223A  卻在無形中，反而從處於痛苦中的你們身上，
0x002264  學到了許多事情。
0x002276  就因為這樣，所以我覺得應該自己去尋找。
0x00229E  就因為你們曾經這麼努力的幫助我，所以我也想努力地報答你們。
0x0022DA  現在，我終於發現了，從過去到現在，對你們給予我的關懷，
0x002312  我竟然都沒有回應過。
0x002328  我竟然連一句感謝的話都沒能對你們說。
0x00234E  雖然從今往後，我不知道究竟能追尋到什麼樣的事物。
0x002380  但是，這卻是我第一次感受到自己有這麼大的決心。
0x0023B0  所以，請你們原諒我必須這樣沉默地離開。
0x0023D8  也請你們不要責怪那沒有阻止我的老師。
0x0023FE  我以後會好好努力的。
0x002414  然後，一定會再回到這裡。
0x00242E  雖然那個時候，不知道你們會不會再以笑容迎接我。
0x00245E  但是，這一點我也已經有所覺悟了。
0x002480  因為我希望能夠能全心全意地跟大家在一起。
0x0024AA  給我親愛的同伴們。
0x0024BE  給我真的，真的很珍視的朋友們呀。
0x0024E0  我要離開了。
0x0024EE  …………
0x0024F8  唔嗯……
0x002502  ……是啊。
0x00250E  怎麼沒有留給帕彌菈學姊和羅沙麗亞學姊的話
0x002538  呢……？
0x002542  …………
0x00254C  沒關係的，現在時機還沒有到。
0x002570  那就是她這趟旅行所要找出的目標呀。
0x002594  現在，就好好地祝福她吧？
0x0025AE  ……是的。
0x0025BA  ……再見了，瑟希莉絲。
0x0025D2  只不過是一夜之間，
0x0025E6  她心中究竟沉積了多少感受，
0x002602  又忍耐了多少痛苦呀。
0x002618  她一定會有所領悟的，而且，
0x002634  感受到了她的思念的伊諾森提雅也是。
0x002658  真是令人羨慕耶。
0x00266A  羅弗利。
0x002674  這世界上還是有像這樣的友情存在呀。
0x002698  什麼……
0x0026A2  「給我親愛的同伴們。
0x0026B8  給我真的，真的很珍視的朋友們呀。
0x0026DA  我要離開了。」
0x0026EA  …………
0x0026F4  然後，「給對我說了發自內心話語的老師，
0x00271C  我真的很珍視，真的很喜歡的老師。
0x00273E  我要離開了。」
0x00274E  ……是嗎？
0x00275A  一直感覺不到自己可以被信賴的人，
0x00277C  終於得到了別人的信賴，
0x002794  跟聽到別人說很喜歡自己的話比起來，
0x0027B8  究竟哪一個會比較快樂呢？
0x0027D2  你呀，是不是也覺得她變得比較率直了呢？
0x0027FA  嗯嗯，我也這麼認為。
0x002810  然而，啊啊……為了所愛的孩子，
0x002830  無論是多麼愚蠢的事情，都有可能做得出來，
0x00285A  所謂為人父母的心情，
0x002870  大概說不定就是這樣吧。
0x002888  是啊，連這麼幼小的她要離開，
0x0028A6  我竟然都沒有阻止。
0x0028BA  但是……我卻沒有任何可以阻止她的理由。
0x0028E2  沒錯。
0x0028EA  唉呀，別擔心，至少還能幫她收屍啦。
