0x0020C8  製作得比一般的巨劍還要來得輕，就算是力氣小的人也
0x002EB2  上，讓他們得以不因為旅途而疲勞。
0x002ED4  預知的大賢者「忒米拉」年輕時用月水晶所製作的寶珠
0x002F0C  因為那上面施加了能夠眺望遠方的魔法，
0x002F32  所以能像冬天的月亮一般地照見遠方的事物。
0x002F90  雖然書本身有著魔力附著，
0x002FAA  但是那魔法的概念與技法卻仍然是一個謎。
0x002FEA  受到神聖的力量保護，
0x003000  讓犯罪的人完全不能碰觸它，
0x00301C  這應該就是對罪人的罪業所做的處罰吧。
0x003070  據說，
0x003078  揮動這把劍戰鬥的姿態就像是那銀翼展翅而舞的樣子。
0x0030D4  會讓使用者受到月光的保護。
0x003106  因為滅殺了許多「匍伏蔓延而來之物」而獲得魔力的破
0x003138  魔之弓。
0x003142  據說，如果沒有向混沌挑戰的勇氣，
0x003164  就連想要撥動它的弦也是很困難的。
0x0031A4  用非常微弱的力量也可以撥動它的弓弦，
0x0031CA  而它的威力足以一舉擊沉水面上漂浮的小船。
0x003218  這兩條蛇會利用魔杖頂端鑲嵌的紅寶石增幅魔力，
0x003246  讓使用者獲得強大的魔力。
0x003280  因為有著識破敵人攻擊的專家─「耶爾特」的守護，
0x0032B0  可以增加穿著者的迴避率。
0x0032EA  這份祝福之力可以提升穿著者的身體能力，
0x003312  並且強化穿著者的耐性。
0x003350  裡面的文字總是放出如火焰一般閃爍的光芒，
0x00337A  會增加持有者的力量。
0x003390  這是由高階的水系法師所撰寫的魔法書，
0x0033B6  裡面的文字總是放出如水一般清澈的光芒，
0x0033DE  會增加持有者的力量。
0x0033F4  這是由高階的大地法師所撰寫的魔法書，
0x00341A  裡面的文字總是放出如深邃的森林一樣的綠色光芒，
0x00344A  會增加持有者的力量。
0x003460  這是由高階的風系法師所撰寫的魔法書，
0x003486  裡面的文字總是放出如雷電一般閃耀的光芒，
0x0034B0  會增加持有者的力量。
0x0034C6  「貝爾德拉奇」的人們現在也還用這一種巨大的彎刀來
0x0034F8  處決犯人。
0x003504  有著一擊就足以斬下人頭的重量與鋒利度。
0x00352C  有著能切開氣流的獨特鋒刃的長劍，
0x00354E  藉由揮劍時所產生的風之結界，
0x00356C  可以增加使用者的反應速度。
0x003588  用黃金作裝飾的美麗圓盾。
0x0035A2  上面所塗的藥品是從只有在「赫爾梅思草原」才有的
0x0035D2  「白夜草」裡提煉出來的，
0x0035EC  可以增加使用者的耐性。
0x003604  弓之賢者「高更」所使用的藍色的弓。
0x003628  在「高更」死後，這把弓就失蹤了一段日子，
0x003652  在數年前被人發現之後，
0x00366A  被送還到培育出「高更」的賢者學舍「愛爾梅納斯」。
0x00369C  據說這把通體漆黑的弩是設計來暗殺別人的。
0x0036C6  不僅是設計輕巧而且攜帶方便，
0x0036E4  並且還有著一擊必殺的威力，那無聲地發射的箭矢，
0x003714  曾經使許多重要人物為之膽顫心驚。
0x003736  賢者「法爾德」愛用的金龍之翼杖，
0x003758  賢者「法爾德」愛用的金龍之翼杖，
0x00377A  所以在它上面施加了封印之後隱藏在某個地方。
0x0037A6  這是從法王廳「瓦士」所送來的神聖鎧甲。
0x0037CE  經過了「法王」祝福的鎧甲，
0x0037EA  能讓穿著的人被包圍在一股神聖的靈氣之中。
0x003814  利用生活在「達洛瓦納濕原」的翼獸「摩尼」的皮革所
0x003846  製作的革甲，
0x003854  在革甲內櫬裡面填充的「摩尼」羽毛，
0x003878  有把鎧甲輕量化並且吸收外來衝擊的功能。
0x0038A0  據說這是賢者「涅爾」在進行魔法儀式的時候一定會使
0x0038D2  用的儀式戒指。
0x0038E2  對於幫助施法者回復魔力有很好的效果。
0x003908  被這個斗篷所包覆的人將會完全與外界的災厄隔絕，
0x003938  擁有治癒肉體的效果。
0x00394E  這是以古代白精靈的語言所紀錄的光明知識神聖書籍。
0x003980  據說，如果能夠完全地理解裡面文字的話，
0x0039A8  將可以從中獲得光明的睿智。
0x0039C4  這是以古代白精靈的語言所紀錄的黑闇知識神聖書籍。
0x0039F6  據說，如果能夠完全地理解裡面文字的話，
0x003A1E  將可以從中獲得光明的睿智。
0x003A3A  被賜給東方四王之一的古豪傑「修貝流士」家的聖騎士
0x003A6C  所使用的巨劍。
0x003A7C  藉由對著這把劍立下誓約，
0x003A96  可以成為寄宿在這把劍中的英靈的主人，
0x003ABC  並獲得它的力量。
0x003ACE  吸收了許多血腥化作魔劍的彎刀。
0x003AEE  在「愛爾梅納斯」結界的力量之下，
0x003B10  那詛咒不再發揮作用，
0x003B26  目前只會為主人發揮它特殊的力量。
0x003B48  灌注著四大學級誓言的神聖盾牌，
0x003B68  在四大學級齊聚在中央校舍的時候，
0x003B8A  會被用來當作儀式的禮器。
0x003BA4  據說這是被稱為「答哈忒瑪」弓神的賢者
0x003BCA  「貝爾納雷信•溫菲」年輕時所使用的小弓。
0x003BF4  用「迷失之森」深處的神木製造，帶著風之精靈的祝福
0x003C2A  這是用聖銀所打造的神聖之弩。
0x003C48  因為有著「見到貝魯刻洛司的閃光的人必然會被那箭矢
0x003C7A  所命中。」的傳言，
0x003C8E  所以被稱為白閃的貝魯刻洛司。
0x003CAC  在以收集魔杖聞名的賢者「柆齊雅」的家中所發現的魔
0x003CDE  法之杖。
0x003CE8  被認為是他的收極品裡祕藏的魔杖之一。
0x003D0E  在翼龍的大都「迪馬吉歐」被稱為守護神的龍騎士們所
0x003D40  穿的鎧甲。
0x003D4C  滲透在鎧甲裡的龍血會提升穿著者的潛在力量。
0x003D78  以聖銀製作的輕便軟甲，
0x003D90  據說那與聖銀一同織進鎧甲裡面的神聖語句會使穿著者
0x003DC2  的心靈更為清明。
0x003DD4  被歌頌為絕世美女的賢者「帖思」，
0x003DF6  在世界中旅行的時候所佩帶的首飾。
0x003E18  據說紅顏薄命的她，
0x003E2C  首飾在她死後，
0x003E3C  自己回到了她在愛爾梅納斯的愛人身邊。
0x003E62  賢者「卡蓮」在進行儀式的時候所穿著的長袍，
0x003E8E  有著能夠補助穿著者的體力，
0x003EAA  使他能夠順利地進行儀式的附加能力。
0x003ECE  預知的大賢者「忒米拉」所製作的魔法鏡片。
0x003EF8  用這個鏡片去透視寶箱的話，
0x003F14  可以拿到更有價值的寶物，
0x003F2E  有著十分不可思議的附加效果。
0x003F4C  前代「聖瑟維艾斯」之長「吉爾梅亞」所製作的神聖護
0x003F84  可以用來佈設高等的結界，
0x003F9E  佩帶它也可以增加抵抗混沌的時間。
0x003FC0  武器發明家「埃格朗」所製作的雙刃巨劍。
0x003FE8  在那兩道鋒刃之間產生的共鳴會使刀刃帶有細微的振動
0x00401A  ，無論是多麼堅硬的東西也會迎刃而解。
0x004040  在古王國「俄斯垂雅」的遺跡所發現的的突擊劍。
0x00406E  是守衛著國王棺柩的七個魔人像的其中之一所執持的寶
0x0040A0  劍，雖然已經有超過一千年的歷史，
0x0040C2  但是它的劍鋒仍然保持著閃耀的光澤
0x0040E4  以及連鋼都可以輕易穿過的鋒利度與強度。
0x00410C  「帕蘭達因」的居城─尖塔「伊力雅」的守護者所持有
0x00413E  的盾牌，由輝煌鋼與月水晶融合在一起製作的鏡面，
0x00416E  對各種魔法都有很高的防禦效果。
0x00418E  這是經過風的精靈加持過的魔法弓，
0x0041B0  據說它所放出的箭矢將會隨風而去，
0x0041D2  無論敵人身在何方都會尾隨到底。
0x0041F2  由武器發明家「埃格朗」所製造，
0x004212  適合快速連發的弩，簡化了填裝箭矢的機構，
0x00423C  雖然降低了威力，但由於提升了射速，
0x004260  反而使得整體的攻擊力變強了。
0x0042A4  是用「眺望萬物的尖塔」周圍吸收了尖塔魔力的波動而
0x0042D6  產生的神木所製造的，
0x0042EC  所以在使用魔法的時候會給施術者帶來很大的幫助。
0x004350  這副華麗而堅固的鎧甲
0x004366  是所有以重戰士為目標努力的人們都希望能擁有的。
0x004396  用據說會出沒在「阿曼吉歐古戰場」的「獨角獅」的皮
0x0043DC  雖然被做成了鎧甲，
0x0043F0  但是上面仍然殘留著「獨角獅」的鬥氣，
0x004416  能夠活化穿著者的身體。
0x004446  擁有魔性的戒指。
0x004458  據說，
0x004460  只有可以用平常心面對這個戒指的人才能夠引發出它真
0x004492  正的力量。
0x00449E  被賜給東方四王之一的古豪傑「修貝流士」家的聖騎士
0x0044E6  刻印在護手上的神聖文字可以減輕穿著者所受到的魔法
0x004518  攻擊。
0x004540  目前都還不能確定那是人類所製作的工藝品，
0x00456A  還是某種生物的蛋，
0x00457E  是許多賢者們長久以來研究的對象。
0x0045C0  在「愛爾梅納斯」裡面並沒有可以跟這個銀鎖匙契合的
0x0045F8  雖然這支鎖匙上似乎有著某種魔法，
0x00461A  但是連是怎麼樣的魔法也還沒有被解明。
0x004672  是用東方所沒有的技術鍛造的，
0x004690  鋒利到令人難以置信的地步。
0x0046AC  在翼龍的大都「迪馬吉歐」被稱為守護神的龍騎士們所
0x0046F0  據說那螺旋的刀刃銳利得連龍的鱗片也可以貫穿。
0x004746  「黑王蟲」的堅固鱗片所製作的盾牌。
0x00476A  那極為有韌性的鱗片可以吸收所有的衝擊，
0x004792  降低穿著者的負擔。
0x0047D0  據說，只要是擁有賢者素質的人使用它的話，
0x0047FA  就算是瞄準很遠的一個點，
0x004814  也有可能可以射穿它。
0x004854  不過它並不是消耗使用者的靈魂來進行攻擊，
0x00487E  但是它可以隨著使用者靈魂所抱持的誓願強度而產生更
0x0048B0  強的威力。
0x0048CC  並且埋入了據說是從月亮落下的月光石的法杖。
0x0048F8  月光石目前還被許多未解開的謎團所圍繞，
0x004920  它所能放出的強大魔力至今也仍吸引了許多賢者的好奇
0x004958  據說這是魔龍「古倫」一直守護著無盡迷宮中的謎之鎧
0x004992  彷彿有著生命的鎧甲不斷地放出鬥氣，
0x0049B6  持續地威嚇著週遭的生物。
0x004A00  不但是金屬打造的，
0x004A14  而且有著精靈的祝福，
0x004A2A  是很珍貴的輕鎖甲。
0x004A66  「阿忒薩姆」的強大思念化作了魔力附在首飾上。
0x004A94  因此，「阿忒薩姆」在死前被認可為賢者，
0x004ABC  列名在賢者的末席。
0x004AF0  就算已經超過了可以負荷的重量，
0x004B10  但它還是可以讓穿著者感覺好像沒有穿上鞋子一樣。
0x004B64  據說，因為這是除了他以外，
0x004B80  沒有別人能做得出來的靈藥，
0x004B9C  所以沒有一定素質的人如果喝了它的話可能反而會中毒
0x004BFC  它並不只是祭器，
0x004C0E  同時擁有可以提升持有者魔力的強大力量。
0x004C66  由於它斬下了一百頭魔獸，
0x004C80  使它們變成了永遠的傳說，
0x004C9A  因此獲得了魔劍的力量。
0x004CD0  「獅鷲」的古代部族戰士所使用的長劍。
0x004CF6  不僅是劍刃鋒利，
0x004D08  還蘊藏了特殊的魔力。
0x004D3A  被稱為守護神的龍騎士們所使用的龍鱗打造的盾。
0x004D68  不只是材質堅韌，
0x004D7A  甚至連龍所吐出來的火焰也可以抵擋。
0x004DB8  都可以發揮出相當長射程的長弓。
0x004DD8  弓上有著能活化使用者的能力，
0x004DF6  藉以增長射程的魔法。
0x004E22  同時也可以進行防守的弩。
0x004E3C  擁有這把弩的人可以不用忌憚近身攻擊的敵人持續進行
0x004E6E  攻擊。
0x004E9E  杖的兩端鑲嵌的月水晶永遠保持著共鳴，
0x004EC4  持續地供給使用者強大的魔力。
0x004EF4  也不知最終去向何方的謎之賢者─「藍巴赫」所穿的鎧
0x004F2C  據說穿著這件鎧甲的人會聽到某個人喃喃細語的聲音。
0x004F82  擁有最強力量的革甲。
0x004F98  據說，無論什麼樣的魔獸的牙爪也無法穿透這件革甲。
0x004FE0  並且受到他們加持的戒指，
0x004FFA  戴上這支戒指的人，
0x00500E  將會獲得那彷彿貫穿天空的烈火一樣強大的破壞力。
0x005054  並且受到他們加持的戒指，
0x00506E  戴上這支戒指的人，
0x005082  將會獲得如同湧出的泉水一樣純潔清澈的魔力。
0x0050C4  並且受到他們加持的戒指，
0x0050DE  戴上這支戒指的人，
0x0050F2  將會獲得如同在草原上奔馳的疾風一樣的敏捷。
0x005136  並且受到他們加持的戒指，
0x005150  戴上這支戒指的人，
0x005164  將會獲得如同毫不動搖的大地般頑強。
0x0051BA  劍刃中住著「丹賀爾」的魂魄，
0x0051D8  它會使弱者發狂，
0x0051EA  而給予強者更強大的力量。
0x005204  被歌頌為劍聖的賢者「哈爾提那」最後所獲得的最強之
0x00523E  「哈爾提那」使用這把劍的時候創造了許多的劍技。
0x00529C  使用了妖猿「煌羅」的巨爪，
0x0052B8  似乎不只是擔任防禦的工作，
0x0052D4  也可以輔助使用者攻擊。
0x005310  某個無名英雄所使用的大弓。
0x00532C  因為在使用它的時候，
0x005342  那箭矢破空而去的聲音就有如吼叫聲一樣，
0x00536A  所以被稱為「吼弓」。
0x0053A8  因為它的攻擊力、連射性、命中率
0x0053C8  都是其他的弩完全無法望其項背的強，
0x0053EC  所以「埃格朗」以自己的名字替它命名。
0x00543E  因為「貝爾德拉奇」一直處於戰亂中，
0x005462  所以不知道流落到什麼地方去了，
0x005482  皇室為了找回它而提出了很高的賞金。
0x0054BC  有與「匍伏蔓延而來之物」同歸於盡的覺悟的賢者
0x0054EA  「菲里昂」所穿的鎧甲。
0x005502  雖然自己犧牲了生命，
0x005518  但成功地擊退了「匍伏蔓延而來之物」的「菲里昂」，
0x00554A  靈魂與決心就寄宿在這鎧甲之中。
0x00556A  古代白精靈戰士所穿著的赤銀打造的輕鎖甲。
0x005594  現在，鍛造這種會自行發出魔力的赤銀技術已經失傳了
0x0055C6  ，所以這件鎧甲可以說是世界上最珍貴的鎧甲之一。
0x005618  其中蘊含著不需要依賴精靈力量的純粹魔力。
0x005668  天空中有太陽的光輝存在時，
0x005684  才能發揮它真正的力量。
0x0056B2  並且受到他們加持的戒指，
0x0056CC  戴上這支戒指的人，
0x0056E0  將會獲得那彷彿溫暖的陽光一般的聖光保護。
0x005720  並且受到他們加持的戒指，
0x00573A  戴上這支戒指的人，
0x00574E  將會獲得那如同永闇的天空一般的黑闇保護。
0x00579C  地之精靈的力量物質化之後產生的劍刃絕對不可能斷裂
0x0057D2  並且有著能切裂大地的強大力量。
0x005816  地之精靈的力量物質化之後產生的劍刃絕對不可能斷裂
0x00584C  據說，
0x005854  只要是在地面上生長的生物就不可能抵擋這把劍的威力
0x0058AE  地之精靈的力量物質化之後產生的裝甲擁有不滅的硬度
0x0058E0  ，無論是在怎樣的衝擊之下也不可能擊碎。
0x00592C  它會吸收大地的力量，
0x005942  活化使用者的肉體，
0x005956  讓使用者變得可以自在地操控這把硬弓。
0x0059A0  它會吸收大地的力量，
0x0059B6  活化使用者的精神，
0x0059CA  讓使用者變成使用弩的老手。
0x005A0A  據說杖中隱藏著已經失傳的地之魔法，
0x005A2E  或是那還沒有被人類發現的地之魔法。
0x005A76  在這鎧甲中蘊含的力量將會不斷地把周遭的土地變化成
0x005AA8  有利於穿著者戰鬥的環境。
0x005AE6  使用神木「索瑪」的樹皮所製作的有生命的革甲，
0x005B14  會給予穿著者抵抗混沌的力量。
0x005B62  輝石的魔力受到真銀製作的底座的增幅，
0x005B88  那磷光的結界將會保護心存正念的人。
0x005BC8  其中所蘊含的魔法不知道有多少已經失去了效力，
0x005BF6  也不知道有多少魔法還在等待人們發現。
0x005C48  用這個鏡片去透視寶箱的話可以拿到更有價值的寶物，
0x005C7A  有著十分不可思議的附加效果。
0x005CC8  隨著「帖思」的死訊，
0x005CDE  這耳環現在也下落不明了。
0x005D20  風之精靈的力量物質化之後產生的劍刃帶有會隨著揮擊
0x005D52  而放出的電光，
0x005D62  隱藏著如同雷擊一樣強大的破壞力。
0x005DAC  風之精靈的力量物質化之後產生的劍刃比羽毛還要輕巧
0x005DE2  據說一旦揮舞這把彎刀，
0x005DFA  就會有旋風隨之而起。
0x005E34  風之精靈的力量物質化之後產生的裝甲非常地輕便。
0x005E64  據說，
0x005E6C  比較弱一點的會被這盾上寄宿的旋風所影響，
0x005E96  隨著氣流而散開。
0x005EA8  據說這是風之精靈王所使用的長弓。
0x005ECA  它所射出的箭矢會伴隨著強勁的氣流，
0x005EEE  可以確實地擊中遠方的敵人。
0x005F2C  它所射出的箭矢會引起旋風，
0x005F48  被這箭矢所射中的人會被真空的利刃給切碎。
0x005F96  據說杖中隱藏著已經失傳的風之魔法，
0x005FBA  或是那還沒有被人類發現的風之魔法。
0x006002  據說某些被這副鎧甲認可的高階賢者會因為穿上它而獲
0x006034  得飛行的能力。
0x006068  風之精靈的力量物質化之後編織而成的鎧甲，
0x006092  將會提高穿著者的耐性。
0x0060D2  據說在他進行預知的時候，
0x0060EC  一定會戴著這枚戒指，
0x006102  所以這枚戒指也就被人們稱為「預知之戒」了。
0x00615E  喝下這個聖杯所盛裝的聖水，
0x00617A  人們可以獲得抵抗混沌的能力。
0x0061CA  這種融合了輝煌鋼與月水晶的技術
0x0061EA  使得日後的人們製造出了被稱為「尖塔的魔鏡」的魔法
0x006242  在「愛爾梅納斯」裡面並沒有可以跟這個金鎖匙契合的
0x00627A  雖然這支鎖匙上似乎有著某種魔法，
0x00629C  但是連是怎麼樣的魔法也還沒有被解明。
0x0062EA  水之精靈的力量物質化之後產生的劍刃會放出如水晶一
0x00631C  般纖細的光芒，
0x00632C  揮動此劍所造成的破壞力就有如瀑布飛洩般地強大。
0x006386  這從永久冰河上所削下來的劍刃，
0x0063A6  會將碰觸到的東西都凍結起來，
0x0063C4  並且將之擊碎。
0x0063FE  水之精靈的力量物質化之後產生的裝甲會反射一切的傷
0x006430  害，提高穿著者的耐性。
0x006472  從那如同美麗的水流般的弓的表面，
0x006494  完全無法看出它會放出如同激流一般的攻擊。
0x0064E6  它所射出的飛沫之矢有著可以輕易射穿堅固岩盤的強大
0x006518  穿透力。
0x006546  據說杖中隱藏著已經失傳的水之魔法，
0x00656A  或是那還沒有被人類發現的水之魔法。
0x0065B2  據說某些被這副鎧甲認可的高位賢者會因為穿上它而獲
0x0065E4  得飛行的能力。
0x006618  風之精靈的力量物質化之後編織成的鎧甲，
0x006640  將會給予穿著者較高的身體及精神的耐性。
0x00668C  那上面不只是被施加了遠見之術，
0x0066AC  並且還有著「瑪梅爾」的記憶，
0x0066CA  據說它會教導有足夠素質的人許多知識。
0x006716  對於魔法攻擊具有優越的防禦力，
0x006736  可以避免穿著者受到許多危險魔法的傷害。
0x006784  製作得非常堅固，絕對不會破損。
0x0067A4  因為它不會破損也不會被弄髒，
0x0067C2  所以看起來永遠都像新斗篷一樣地閃閃發光。
0x006812  穿著它的人會受到風之魔力加持，
0x006832  可以比平常還要輕便、迅速地行動。
0x00687C  火之精靈的力量物質化之後產生的劍刃會放出能讓邪惡
0x0068AE  的妖物瞬間化為灰燼的高熱。
0x0068F4  火之精靈的力量物質化之後產生的劍刃附著著不滅的火
0x006926  焰，那火焰所引起的熱浪會扭曲劍刃揮動的軌跡，
0x006954  使得敵人不容易迴避它。
0x006994  會以火之精靈的力量活化使用者的體力與魔力，
0x0069C0  給予使用者長時間與混沌抵抗的力量。
0x006A0E  孕育火焰的箭矢在命中的同時會引發爆炸性的燃燒，
0x006A3E  比較弱小的敵人可能會在瞬間就化作焦炭。
0x006A8E  它所射出的聖炎之矢有著可以將混沌徹底燃燒到完全消
0x006AC0  失為止的力量。
0x006AF4  據說杖中隱藏著已經失傳的火之魔法，
0x006B18  或是那還沒有被人類發現的火之魔法。
0x006B60  永遠都保持在白熱的狀態下，
0x006B7C  沒有被這副鎧甲認可的人可能會在接觸它的瞬間就被烈
0x006BAE  火所包圍。
0x006BDE  穿著這炎之魔人的皮革所製作的甲冑的人，
0x006C06  據說可以自由自在地在火焰中行走。
0x006C28  只有在「凡迪斯斐爾」深處的「永夜之室」才有辦法加
0x006C6E  配戴著它的人，
0x006C7E  心靈會被一道能阻擋混沌讒言的黑闇結界所保護。
0x006CAC  據說這是被賜給「帕蘭達因」之中最優秀的賢者的黃金
0x006CE8  同時，也據說，如果沒有足夠的才能的話，
0x006D10  是沒有辦法引出手鐲中真正的力量的。
0x006D5E  「左拉」的形象製作的玻璃像。
0x006D7C  據說在這琉璃色的玻璃中，
0x006D96  隱藏著一些早已失傳的技術。
0x006DD2  或是與過去的任何一種文字都不同的語言所寫下的魔導
0x006E0A  雖然據說這本書中紀錄了萬世萬物的命運，
0x006E32  但是因為唯一能解讀它的賢者已經失蹤，
0x006E58  所以也無法證實那傳言是否是真實的。
0x006EA6  據說這闇之精靈的力量物質化之後產生的劍刃不會斬傷
0x006ED8  肉體，
0x006EE0  而是會傷害對手的精神。
0x006F22  這柄擁有強大力量的寶劍，
0x006F3C  只有閉上雙眼也能夠用心眼去觀照事物的人才能夠使用
0x006F9A  雖然這是一面力氣不夠大就無法使用的沉重盾牌，
0x006FC8  但一旦使用它的話，
0x006FDC  無論是什麼樣的攻擊也會被溶解在這盾牌的黑闇之中，
0x00700E  可以說是無敵的盾牌。
0x00704E  使用它的人會因為黑闇的護持而得以和混沌對峙比較長
0x007080  的時間。
0x0070B2  使用它的人會因為黑闇的護持而得以和混沌對峙比較長
0x0070E4  的時間。
0x007112  據說杖中隱藏著已經失傳的闇之聖言，
0x007136  或是那還沒有被人類發現的闇之聖言。
0x00717E  這鎧甲會奪走穿著者的視力作為代價，
0x0071A2  而給予穿著者強大的耐性。
0x0071E0  因為這是用被稱為魔王的高位魔物的皮革所製作的甲冑
0x007212  ，所以它現在也還保持著一定的生命力，
0x007238  會伺機奪佔穿著者的意識與肉體。
0x00727A  那滿溢而出的火之精靈力會不斷地活化持有者的身體，
0x0072AC  無論是怎樣的傷痛也能夠瞬間復原。
0x0072F0  那滿溢而出的水之精靈力會解放持有者潛在的力量，
0x007320  使得持有它的人可以使用更多的魔力。
0x007366  那滿溢而出的風之精靈力會增幅持有者的精神力量，
0x007396  供給持有人魔力。
0x0073A8  蘊含高純度的地之精靈力的魔石。
0x0073C8  那滿溢而出的地之精靈力會增強持有者的肉體，
0x0073F4  給予持有者強韌的肉體。
0x007436  會以神聖的光芒照耀使用者的四周，
0x007458  讓使用它的人可以更早地發現附近的混沌。
0x0074AA  這把劍所放出的神聖光芒連隱匿起來的混沌也能夠發現
0x007508  這被神聖的光芒所包覆的盾，
0x007524  四周永遠都像白晝一樣地明亮，
0x007542  任何混沌也別想在它身邊躲藏。
0x00758A  會不斷地製造出可以貫穿一切障礙物的光之箭的神聖長
0x0075EA  會不斷地製造出可以瞬間擊中任何距離的敵人的光之箭
0x00761C  的神聖之弩。
0x00764E  據說杖中隱藏著已經失傳的光之聖言，
0x007672  或是那還沒有被人類發現的光之聖言。
0x0076BE  被光之力量加護的鎧甲有很高的泛用性，
0x0076E4  擁有無論是什麼樣的攻擊也可以抵抗的能力。
0x00773A  化作了鎧甲的無名聖者會持續地給予心存正念的人力量
0x00776C  ，並且從心靈的黑闇面之中驅逐持有者的混沌。
0x007798  「紐•普勞迪斯」從前往「伊諾森提雅」的友人那兒得
0x0077DC  因為被施下了永遠眺望著「伊諾森提雅」的魔法，
0x00780A  所以會永遠地指向「伊諾森提雅」的方向。
0x007864  雖然能夠給予持有者強大的力量，
0x007884  但是也有不知道什麼時候會破裂的危險。
0x0078CC  那滿溢而出的光之精靈力會增強、活化持有者的肉體，
0x0078FE  給予使用魔法的術士們與戰士一樣強韌的肉體。
0x00794C  那滿溢而出的光之精靈力會增強、活化持有者的精神，
0x00797E  給予戰士們與使用魔法的術士一樣強韌的精神。
