0x0013A8  這個世界，已經被混沌所充斥。
0x001D8A  賢者們認為自己不可能被任何人擊敗，因此在那「匍伏蔓延而來之物」的面前，舉起了「戰爭」這把危險的雙刃劍。
0x001DF2  在這個時候，一種奪走人類心中正氣的力量也正在發酵。
0x001E26  雙方的對峙持續得越久，賢者們心中的信念就會越來越薄弱，戰鬥的結果自然也就是賢者們的自我毀滅。
0x001E84  從黑闇之中來訪的，異形的混沌。
0x001EA4  除了這點以外，他們出現的目的、理由，的確沒有任何人知道。
0x001EDE  只有它們攻陷了愛爾梅納斯的中央校舍，並且以之為巢穴的這項事實是可以確定的。
0x001F2A  由於這一場戰役，許多的賢者墮入了黑闇之中，而孩子們再度流離失所。
0x001F6C  在學舍的四周圍繞，賢者們也無法擊敗的敵人，匍伏蔓延而來之物。
0x001FAA  與之相對的，是那因為幼小而未完全成熟，充滿夢想而純潔清澈的赤子之心，
0x001FF0  這正是孩子們能與匍伏蔓延而來之物對抗的原因。
0x00201E  然而，孩子們卻也發覺到，自己與賢者的知識、力量有著不小的差距，所以無法與它們對峙太久。
0x002076  「希望能夠為老師們盡一點心力」
0x002096  當然，拼盡自身的所有力量，就算倉皇備戰，要擊退混沌也是可以辦到的。
0x0020DA  然而賢者們卻沒有安然存活，眼前被破壞的爪痕殘酷蹂躪的愛爾梅納斯，
0x00211C  正是賢者無法與匍伏蔓延而來之物對抗的鐵証。
0x002148  賢者們無法逃避與匍伏蔓延而來之物的戰鬥，這是可以確定的。
0x002182  與困難對抗的重責大任，以及無法對孩子們置之不理的內心糾葛。
0x0021BE  然而在中央校舍的戰鬥，就是那些明知無謀仍然出戰的賢者所作出的決定，
0x002202  這同時也是他們苦惱的一種表現吧。
0x002224  而那決定的結果，就是為數眾多的賢者殞落、或者從此行蹤不明，
0x002260  而中央校舍就成了一片斷垣殘壁。
0x002280  所謂的學舍，就是一個不是任何人都可以進入，同時卻也是任何人都有機會入學的地方。
0x0022D0  必備的條件並不多。
0x0022E4  只要帶上一顆澄澈的心。
0x0022FC  還有願為不平凡的夢想粉身碎骨的熱情。
0x002322  愛爾梅納斯的孩子們，每一個人都有著這樣純粹的心靈與信念。
0x00235C  因此他們可以挺身對抗，那普通人註定不能違逆，連賢者們也無法抵禦的匍伏蔓延而來之物。
0x0023B0  德涅西亞•露弗鐸可勞（男，１０５歲）
0x0023D6  身為「純潔之盾」的創辦人，曾經數度引導了黃金時代的來臨，是一位偉大的年長賢者。
0x002426  年老，退出了第一線事務的他，在那老去的雙眼中，
0x002456  閃耀著識見英才的光芒。
0x00246E  帕彌菈•露弗鐸可勞（女，１８歲）
0x002490  沉穩冷靜，態度優雅的才女。
0x0024AC  在「純潔之盾」裡扮演著慈母的角色，對年幼的孩子們付出關愛。
0x0024E8  然而，若碰到違反道德規範的情況，絕對不會寬貸。
0x002518  由於愛護而嚴厲的管束，又因為嚴厲對待而更加地愛護。
0x00254C  將胸中的熾熱烈火深藏，白銀的薔薇。
0x002570  外和內剛的偽裝，這就是她的生活方式。
0x002596  瑟希莉絲•芬諾忒（女，１４歲）
0x0025B6  在從來不曾感受過任何困境的情況下長大，可憐的溫室花朵。
0x0025EE  對師長的指示，一向爽朗地接受，而那真摯的態度卻並沒有任何幼稚或輕浮的跡象。
0x00263A  然而，認為「將自己的煩惱說出來與人討論」是一種怠惰與可恥的表現的她，
0x002680  在那過分堅守原則的心靈突然間受到了打擊時，心中積藏已久的各種想法為之潰決。
0x0026CC  啊啊，反應機敏的優等生，生活即將要結束了嗎？
0x0026FA  或者說，以自己的意識向全新的道路邁進的時候到了嗎？
0x00272E  集「純潔之盾」的期待與希望於一身的她，人生即將迎向最初的考驗。
0x00276E  伊里安•維奈特（男，１３歲）
0x00278C  彷彿總是在等待著什麼的成熟眼神，是一位文靜的少年。
0x0027C0  過去，在傑出的前輩－「司法」羅沙麗亞•歐迪納的光環下，
0x0027F8  他的名字與才能不為人們所了解。
0x002818  然而，他身為僧侶的支柱，確實撐起了「純潔之盾」所做的努力，是誰也無法抹滅的事實。
0x00286A  一心一意地，不斷地努力的伊里安。
0x00288C  對於沒有表現出亮麗成績的他，仍毫無同理心地批判的人也總是存在。
0x0028CC  雖然總在挫折中盈起淚光，伊里安仍默默地祈求，默默地修行。
0x002906  奧爾菲，羅馬諾華（男，２５歲）
0x002926  擁有美麗的白金色頭髮，不但是伊諾森提雅的賢才，也是一位魔法師。
0x002966  在德涅西亞的門下學習，以一個四大學級的領導人來說，是破例的年輕。
0x0029A8  芭特菈•費德林斯克（女，７７歲）
0x0029CA  天秤之長。
0x0029D6  驅使著大地與火炎的魔法，威風凜凜的老婆婆。
0x002A02  公開地反對十分重視帕蘭達因意見的賢者圓桌。
0x002A2E  然而，所抱持的意見並不被接受，還因此被囚禁於「常闇」的鎖鏈之中。
0x002A70  而她也是領導著沉思聖堂的奈比洛斯的大姐，是一位難得的女賢者。
0x002AAE  奧吉爾•維因哈特（男，１７歲）
0x002ACE  曾經一肩擔起那走向凋零的四大名門之一「純潔之盾伊諾森提雅」，他是一位強韌的劍士。
0x002B20  憑藉著那想成為賢者的堅強意志，以及對「純潔之盾」比一切都還要深厚的感情。
0x002B6A  那真摯的眼中沒有任何迷惘，為了對年幼的後輩以身作則，嚴格自律的奧吉爾，
0x002BB2  將被殘酷地毀滅的祖國深藏在回憶中，而走向自己所深信的道路。
0x002BEE  羅沙麗亞•奧笛納（女，１７歲）
0x002C0E  被身邊的人們所畏懼，「告死天使」大概就是她的最佳寫照。
0x002C46  在黑闇的咒術之下成長，「冥府的預言者」是她被安排的未來。
0x002C80  那預見未來的能力從孩提時便已覺醒，然而，卻被身旁的人們當作禁忌的存在，而避之唯恐不及。
0x002CD8  這漫長的漫長的黑夜，就在愛爾梅納斯賢者們點起的燈火底下消散，
0x002D16  師事於賢者的學舍，使她的人生有了嶄新的開始。
0x002D44  對於其他人汲汲營營的事情不屑一顧，羅沙麗亞逕自編織著那無人能理解的言靈。
0x002D8E  雖然那雙禁忌的眸子總處在眾人苛責的眼光下，
0x002DBA  她仍然抱持著心中不滅的熱情，堅定地活下去。
0x002DE6  希里鄔司•謬斯（男，１２歲）
0x002E04  在聲勢浩大的貴族家族中有著閃耀的人生，卻反過來選擇痛苦道路的希里鄔司，
0x002E4C  雖然有著天賦的魔法才能，卻拒絕進入智慧的殿堂「帕蘭達因」，
0x002E88  只因為他討厭這種順應現實條件而被定型的行為。
0x002EB6  要走別人為自己舖好的路？還是要開創屬於自己的路？
0x002EE8  無法接受別人表現出鬆懈的姿態，所以有時會以尖酸的言詞去批評，有時則以挑釁的口吻去擠兌，
0x002F40  也許這就是他鼓舞自己的一種方法吧……
0x002F66  加入了戰士們的學級─為義而生的「葛斯貝布洛」之後，在那不安的純良心靈裡，他所見到的究竟是什麼……
0x002FC8  艾爾雪•貝爾薩（女，１６歲）
0x002FE6  以頑固的信念貫徹最初的志願，沉默的劍士，艾爾雪。
0x003018  年紀輕輕就被破格拔擢為謬斯大公家的嫡子─希里鄔司的護衛。
0x003052  其後，迫於戰亂離開祖國、來到愛爾梅納斯避難，為了與主人保持距離，
0x003094  最後進入了「聖瑟維艾斯」求學。
0x0030B4  然而，繼承貝爾薩之名，朝劍聖的目標邁進時，所面臨的，卻是極為殘酷的選擇。
0x0030FE  ……在愛爾梅納斯的中樞─輝煌的中央校舍發生的撤退戰。
0x003134  要從那「匍伏蔓延而來之物」裡救出的，是學舍的朋友－主人？
0x00316E  在同伴們無言的支持下，艾爾雪衝向主人的身邊。
0x00319C  雖然成功地救出了希里鄔司，但也失去了名為「聖瑟維艾斯」的歸屬，
0x0031DC  因此深深地嚐到了苦惱的滋味。
0x0031FA  於是，她再度離開了主人的身邊……
0x00321C  因為連自己所深信的劍術也無法發揮而怨恨，總是依照自己的衝動行動。
0x00325E  迎向面前等待自己的危難，奮不顧身……
0x00328A  為了清洗被咒文以及怪物所污染的身體，會隱匿在特殊的場所進行斷食以及沐浴的修行。
0x0032DA  長久的齋戒變成了清洗身心的歲月，那也是因為還想要保持自己人類的本質。
0x003320  奈比洛斯•盧希弗吉（女，６８歲）
0x003342  沉思的聖堂的總裁，被冠上召喚了「匍伏蔓延而來之物」的罪名，人們指責她所鑽研的黑闇知識而將她囚禁。
0x0033A4  傳言，她以沉默拒絕怕蘭達因的提案，拒絕去拯救愛爾梅納斯。
0x0033DE  究竟沉默之長的愛徒心中在想些什麼而保持著沉默呢……？
0x003414  無論是誰，也在探索著究竟她未出口的話語是什麼。
0x003444  法娜•修貝流士（女，１５歲）
0x003462  感受力豐富，又如玉璧般純潔無瑕。
0x003484  毫無造作的笑容天真爛漫，她是東征四王之一─古豪傑修貝流士家的公主。
0x0034C8  從來不恐懼、不怯懦、不退縮。
0x0034E6  遇到變故時，往往立刻作出相應的行動；
0x00350C  這種作風在以沉思為重，處於四大學級頂端的「聖瑟維艾斯」中，猶如鶴立雞群。
0x003556  然而威風凜凜、英姿颯爽的她，雖然在這種環境下，卻從來不曾表現出籠中鳥的喪氣模樣，
0x0035A8  臉上總是掛著永不消失的笑容，給予身邊的人們勇氣與信心。
0x0035E0  紐•普勞迪司（男，１５歲）
0x0035FC  有著涼爽眼神的名射手、身手俐落的劍士、同時也是操動著銳利言靈的法師。
0x003642  有如當年的德涅西亞•露弗鐸可勞，被當成是「帕蘭達因」精神支柱的才子，
0x003688  雖然這如同星光一般閃耀的人傑身處於智慧的殿堂之中，
0x0036BC  但在眾多英才環繞下，仍不減其奪目的光華。
0x0036E6  在意外的變故中，他昂然面對，在新的邂逅中，毫不逃避，勇往直前。
0x003726  傑萊特•羅弗利（男，２７歲）
0x003744  是德涅西亞締造的純潔之盾黃金時期的中流砥柱。
0x003772  本來在水瓶騎士團中以武勇馳名，然而後來因故離團。
0x0037A4  在那之後，由於失去了努力的目標，所以就毫無休止地開始鑽研各方面的知識。
0x0037EC  雖然有著優秀的內在修養與能力，但卻苦無可以發揮的空間……
0x003826  要說羅弗利的空虛感是德涅西亞煩惱的泉源的話，真是一點也不為過。
0x003866  薛莉爾•崔諾瓦（女，２５歲）
0x003884  輔佐「漆黑」奈比洛斯•盧希弗吉的見習賢者。
0x0038B0  那無論什麼事情都以誠摯的態度面對，並且負責到底的態度，使得與她相處的人都對她有良好印象。
0x00390A  雖然奉行著沉思的信念，但是仍然常常讓不安與疑問衝口而出，這大概就是她還沒有辦法成為賢者的原因吧。
0x00396C  身為聖瑟維艾斯的後繼者，她的未來被寄予相當大的期望。
0x0039A2  修奈鐸•華倫斯提（男，３３歲）
0x0039C2  在正道的實踐上，是一位無可比擬的賢者。
0x0039EA  信奉邏輯與理性的魔法，是當代數一數二的魔法師。
0x003A1A  由於眼盲而使得他的感性被磨練的相當透徹，說出來的話往往可以一針見血地擊中對手要害。
0x003A6E  身為已經滅亡的奧丁•古魯士的宰相，跟賢者們的關係也是非常密切，因此也收容了賢者圓桌的成員們。
0x003ACC  雖然也有人對他那辛辣的言詞以及毫不留情的鐵腕作風不滿，
0x003B04  但是他同時也被視為可以驅除愛爾梅納斯混沌的先鋒，所以確實受到了相當大的期待。
0x003B52  賢者圓桌
0x003B5C  至少由五人所組成的愛爾梅納斯最高評議機關。
0x003B88  失去了原先的居城─羅亞爾•聖提之後，現在遷移到了眺望萬物的尖塔。
0x003BCA  因此，他們行事的準則與方針受到了帕蘭達因不小的影響。
0x003C00  凱洛特•溫菲（女，１３歲）
0x003C1C  骨碌碌地不時轉動的大眼睛，似乎對一切事物都充滿好奇。
0x003C52  在她眼中所映照的一切，就彷彿在壁爐伸懶腰的小貓一般慵懶而有趣。
0x003C92  無論是什麼事情，就是忍不住插手幫忙一下。
0x003CBC  正以為她可能把玩具箱整個翻過來搞得一場大亂的時候，
0x003CF0  她卻正以靜謐的姿態平穩地散步；
0x003D10  然而，有時也會看到，在零落的淚滴中陷入低潮的凱洛特。
0x003D46  像她這樣的性格，正可以說是天真爛漫又明朗快活吧。
0x003D78  而繼承答哈忒瑪弓神的血統，朝向賢者邁進的道路，正在這樣一位少女的面前展開。
0x003DC4  鮑貝斯•福亞托德（男，９５歲）
0x003DE4  驅使著地獄業火的火炎魔法師。
0x003E02  年輕時燒毀了不少國家的罪人。
0x003E20  不過，那也已經是５０多年前的事情了。現在，他致力於完成賢者的任務，是愛爾梅納斯的支柱。
0x003E78  雖然知道他悲慘過去的人並不多，不過他的心中除了以培養後進來贖罪以外，並沒有別的想法。
0x003ECE  帕佩修•斐可（男，１２５歲）
0x003EEC  鎖匙之長。
0x003EF8  擁有優越的洞察力與特殊的思考方式。
0x003F1C  因此，用特殊的發言混亂整個場面，出其不意地打入問題核心的作風，可以說是毫無保留地展現了這位妖精的個性。
0x003F84  換個角度來說……像是獵人也像是劍士的他，求學也許將會是求取技巧的一條捷徑吧。
0x003FD2  奎絲忒•脩諾索（女，１１歲）
0x003FF0  總是流露出心不在焉態度的傻氣少女。
0x004014  對於出其不意的呼喚，總是以溫柔的笑容回應。
0x004040  這個連名字也沒有的棄嬰，被賢者們在冰冷的原野上拾回，這已經是十一年前的事情了。
0x004090  並沒有特別偏心地呵護，悲憫她身世的年長賢者們只是自然地在日常生活中給予關懷。
0x0040DE  歲月流逝，不知何時，她的才能也慢慢地萌芽了。
0x00410C  雖然時常模仿長輩的語氣來說教，但那孩子氣地仰望眼神卻透出無限的盼望。
0x004152  以彷彿想穿透人心的眼神，充滿期待地凝視。
0x00417C  夏朧•佛洛斯蘋（女，１３歲）
0x00419A  年幼時被戰火奪去摯愛的家人們，在白銀的雪原上以自己的血刻印，立誓要報仇的少女。
0x0041EA  她毫不猶疑的言行舉止、不委曲求全而苟活的態度，
0x00421A  也許是因為她高潔而冷澈的信念在支持著她吧。
0x004246  然而，這也讓她被仇恨的業火燒灼，在如同破腦碎心的哀傷裡喘息。
0x004284  毫無疑問地，是因為這幼小的少女正身陷苦惱之中。
0x0042B4  如同雪一般無垢的夏朧，卻因此在心中環抱著無垠的黑暗。
0x0042EA  能夠解放這份咒縛的，就只有導師、朋友的關愛，或者是實現那在雪原之上，血染的誓言呢……
0x004340  法爾德•貝利斯（男，８９歲）
0x00435E  是德涅西亞的後輩，同時也是惡友。
0x004380  高大的身軀現在也沒有絲毫衰退的跡象，充滿活力的眼神給人深刻印象的老賢者。
0x0043CA  他的實力不但連德涅西亞也認同，並且由於他奔放豪爽的性格，也不滿足於在愛爾梅納斯投賢置散。
0x004424  伊莉絲•文克斐雷（女，３２歲）
0x004444  為了創造純潔之盾的黃金時代，培養著那豐沃土壤的魔法師。
0x00447C  她的技能多半屬於大地的力量，是支撐前衛的重要角色。
0x0044B0  過去，在身陷戰爭漩渦中的純潔之盾裡，她所製造的纖細氣氛曾經給予眾人多大的支撐，
0x004500  已經成為現在大家津津樂道的事情。
0x004522  十二年前出發旅行，為了消弭遊貝爾鐸可勞所引發的各種紛爭而持續地努力著。
0x00456A  而她的妹妹，是現在也寄身在純潔之盾的攸莉•文克斐雷。
0x0045A0  黑衣施咒者
0x0045AC  曾經讓愛爾梅納斯墜入失意的深淵，一群穿著黑色長袍的賢者。
0x0045E6  有著徹底蹂躪對於自己的所有信賴，並且差一點就毀滅了整個學舍的過去。
0x00462A  雖然人們以為他們現在也還遭受著詛咒，被囚禁在永遠的黑闇中……
0x004668  但是他們卻利用混沌的力量東山再起，準備再度毀滅賢者學舍。
0x0046A2  第十三王杯
0x0046AE  使用第十三王杯的願望，使得學舍自己拉開了這一切的序幕。
0x0046E6  奈比洛斯、黑衣施咒者、孩子們，以及愛爾梅納斯。
0x004716  互相重疊的無數思念，將在最後的戰鬥中被集合到同一個終點。
0x004750  滅亡之杯
0x00475A  在九年前的戰爭中失落的第十三王杯。是在那引來希望的十二王杯之外的，無垢的王杯。
0x0047AA  可以用來施展那禁斷的祕法，不分善惡地達成人們所許下的願望。
0x0047E6  而愛爾梅納斯自身所期望的結局，就是毀滅。
